0,0.00E+00,0,,,,,
4.14938,4.18E-05,-7.99E-04,,,,,
8.29876,1.67E-04,-0.0032,,,,,
12.4481,3.76E-04,-7.19E-03,,,,,
16.5975,6.67E-04,-0.01279,,,,,
20.7469,0.00104,-0.02001,,,,,
24.8963,0.0015,-0.02884,,,,,
29.0456,0.00203,-0.0393,,,,,
33.195,0.00265,-0.0514,,,,,
37.3444,0.00334,-0.06515,,,,,
41.4938,0.00411,-0.08056,,,,,
45.6432,0.00496,-0.09766,,,,,
49.7925,0.00588,-0.11646,,,,,
53.9419,0.00687,-0.13698,,,,,
58.0913,0.00793,-0.15924,,,,,
62.2407,0.00906,-0.18327,,,,,
66.39,0.01025,-0.20909,,,,,
70.5394,0.0115,-0.23673,,,,,
74.6888,0.01281,-0.26621,,,,,
78.8382,0.01418,-0.29758,,,,,
82.9876,0.01559,-0.33086,,,,,
87.1369,0.01706,-0.36608,,,,,
91.2863,0.01857,-0.40329,,,,,
95.4357,0.02011,-0.44253,,,,,
99.5851,0.02169,-0.48383,,,,,
103.734,0.02329,-0.52725,,,,,
107.884,0.02492,-0.57282,,,,,
112.033,0.02656,-0.62059,,,,,
116.183,0.02821,-0.67062,,,,,
120.332,0.02988,-0.72295,,,,,
124.481,0.03153,-0.77766,,,,,
128.631,0.03317,-0.83477,,,,,
132.78,0.03479,-0.89437,,,,,
136.929,0.03638,-0.95652,,,,,
141.079,0.03793,-1.02128,,,,,
145.228,0.03943,-1.0887,,,,,
149.378,0.04087,-1.15888,,,,,
153.527,0.04224,-1.23188,,,,,
157.676,0.04353,-1.30777,,,,,
161.826,0.0447,-1.38665,,,,,
165.975,0.04578,-1.46858,,,,,
170.124,0.04673,-1.55365,,,,,
174.274,0.04753,-1.64195,,,,,
178.423,0.04818,-1.73357,,,,,
182.573,0.04865,-1.82859,,,,,
186.722,0.04892,-1.92714,,,,,
190.871,0.04898,-2.02928,,,,,
195.021,0.0488,-2.13514,,,,,
199.17,0.04837,-2.24481,,,,,
203.32,0.04764,-2.35841,,,,,
207.469,0.04661,-2.47604,,,,,
211.618,0.04524,-2.59782,,,,,
215.768,0.04351,-2.72386,,,,,
219.917,0.04137,-2.8543,,,,,
224.066,0.03882,-2.98923,,,,,
228.216,0.03581,-3.12879,,,,,
232.365,0.03229,-3.27312,,,,,
236.515,0.02825,-3.42232,,,,,
240.664,0.02363,-3.57654,,,,,
244.813,0.0184,-3.73592,,,,,
248.963,0.0125,-3.90062,,,,,
253.112,0.0059,-4.07063,,,,,
257.261,-0.0015,-4.24629,,,,,
261.411,-0.0097,-4.42763,,,,,
265.56,-0.0187,-4.61476,,,,,
269.71,-0.0287,-4.80799,,,,,
273.859,-0.0396,-5.0072,,,,,
278.008,-0.0516,-5.21269,,,,,
282.158,-0.0647,-5.42453,,,,,
286.307,-0.079,-5.64289,,,,,
290.456,-0.0945,-5.8678,,,,,
294.606,-0.1114,-6.0996,,,,,
298.755,-0.1297,-6.3382,,,,,
302.905,-0.1495,-6.5837,,,,,
307.054,-0.1708,-6.8363,,,,,
311.203,-0.1938,-7.096,,,,,
315.353,-0.2187,-7.3631,,,,,
319.502,-0.2453,-7.6374,,,,,
323.651,-0.2739,-7.919,,,,,
327.801,-0.3046,-8.2081,,,,,
331.95,-0.3374,-8.5045,,,,,
336.1,-0.3724,-8.8082,,,,,
340.249,-0.4099,-9.1194,,,,,
344.398,-0.4499,-9.4379,,,,,
348.548,-0.4924,-9.7636,,,,,
352.697,-0.5376,-10.0964,,,,,
356.846,-0.5856,-10.4361,,,,,
360.996,-0.6367,-10.7827,,,,,
365.145,-0.6906,-11.1357,,,,,
369.295,-0.7478,-11.495,,,,,
373.444,-0.8081,-11.8603,,,,,
377.593,-0.8718,-12.231,,,,,
381.743,-0.939,-12.607,,,,,
385.892,-1.0097,-12.9876,,,,,
390.041,-1.0839,-13.3721,,,,,
394.191,-1.1619,-13.7602,,,,,
398.34,-1.2435,-14.151,,,,,
402.49,-1.3289,-14.5438,,,,,
406.639,-1.4181,-14.9378,,,,,
410.788,-1.5109,-15.3318,,,,,
414.938,-1.6076,-15.7251,,,,,
419.087,-1.708,-16.1164,,,,,
423.237,-1.8121,-16.5046,,,,,
427.386,-1.9198,-16.8884,,,,,
431.535,-2.0309,-17.2664,,,,,
435.685,-2.1452,-17.6371,,,,,
439.834,-2.2627,-17.999,,,,,
443.983,-2.3832,-18.3505,,,,,
448.133,-2.5061,-18.6898,,,,,
452.282,-2.6315,-19.0153,,,,,
456.432,-2.7588,-19.325,,,,,
460.581,-2.8879,-19.6171,,,,,
464.73,-3.018,-19.8896,,,,,
468.88,-3.149,-20.1406,,,,,
473.029,-3.2802,-20.3681,,,,,
477.178,-3.4111,-20.5702,,,,,
481.328,-3.5412,-20.7449,,,,,
485.477,-3.6697,-20.8902,,,,,
489.627,-3.7962,-21.0046,,,,,
493.776,-3.9199,-21.0861,,,,,
497.925,-4.0401,-21.1332,,,,,
502.075,-4.1563,-21.1445,,,,,
506.224,-4.2675,-21.1186,,,,,
510.373,-4.3732,-21.0545,,,,,
514.523,-4.4727,-20.9512,,,,,
518.672,-4.5653,-20.8082,,,,,
522.822,-4.6503,-20.6251,,,,,
526.971,-4.7271,-20.4017,,,,,
531.12,-4.7951,-20.1383,,,,,
535.27,-4.8538,-19.8354,,,,,
539.419,-4.9026,-19.4938,,,,,
543.568,-4.9412,-19.1147,,,,,
547.718,-4.9691,-18.6995,,,,,
551.867,-4.9862,-18.25,,,,,
556.017,-4.9922,-17.7682,,,,,
