W E1 E1 E1
701.245 8.10322 8.65806 9.66123
705.394 8.05947 8.61159 9.59297
709.544 8.01972 8.56882 9.52952
713.693 7.9838 8.52966 9.47076
717.842 7.95157 8.49396 9.41657
721.992 7.92287 8.46162 9.36681
726.141 7.89755 8.43251 9.32136
730.29 7.87547 8.40652 9.28007
734.44 7.85649 8.38351 9.2428
738.589 7.84046 8.36338 9.2094
742.739 7.82724 8.34602 9.17972
746.888 7.81671 8.3313 9.15362
751.037 7.80874 8.31911 9.13095
755.187 7.8032 8.30936 9.11156
759.336 7.79996 8.30194 9.09532
763.485 7.79893 8.29674 9.08208
767.635 7.79997 8.29367 9.0717
771.784 7.803 8.29263 9.06406
775.934 7.80789 8.29354 9.05903
780.083 7.81457 8.29631 9.05648
784.232 7.82293 8.30085 9.05629
788.382 7.83289 8.30708 9.05835
792.531 7.84437 8.31494 9.06255
796.68 7.85727 8.32434 9.06878
800.83 7.87154 8.33522 9.07695
804.979 7.88709 8.34752 9.08696
809.129 7.90387 8.36117 9.09872
813.278 7.9218 8.37612 9.11215
817.427 7.94083 8.39231 9.12717
821.577 7.96091 8.40969 9.1437
825.726 7.98198 8.42822 9.16168
829.876 8.004 8.44784 9.18103
834.025 8.02691 8.46853 9.2017
838.174 8.05069 8.49024 9.22363
842.324 8.07528 8.51293 9.24678
846.473 8.10067 8.53659 9.27109
850.622 8.12681 8.56117 9.29651
854.772 8.15367 8.58665 9.32302
858.921 8.18124 8.61302 9.35057
863.071 8.20949 8.64025 9.37913
867.22 8.2384 8.66832 9.40868
871.369 8.26796 8.69723 9.43918
875.519 8.29815 8.72695 9.47062
879.668 8.32895 8.75749 9.50298
883.817 8.36036 8.78883 9.53624
887.967 8.39238 8.82098 9.57038
892.116 8.425 8.85393 9.6054
896.266 8.45823 8.88768 9.64128
900.415 8.49205 8.92224 9.67802
904.564 8.52648 8.95761 9.71561
908.714 8.56152 8.99381 9.75404
912.863 8.59719 9.03084 9.79332
917.012 8.63349 9.06871 9.83342
921.162 8.67044 9.10744 9.87435
925.311 8.70805 9.14704 9.9161
929.461 8.74635 9.18753 9.95866
933.61 8.78534 9.22892 10.002
937.759 8.82507 9.27121 10.0461
941.909 8.86554 9.31444 10.091
946.058 8.90678 9.35859 10.1365
950.207 8.94882 9.40368 10.1827
954.357 8.99169 9.4497 10.2294
958.506 9.0354 9.49664 10.2767
962.656 9.07998 9.54447 10.3243
966.805 9.12545 9.59315 10.372
970.954 9.17181 9.64262 10.4198
975.104 9.21908 9.69277 10.4674
979.253 9.26724 9.74347 10.5145
983.402 9.31628 9.79455 10.5606
987.552 9.36614 9.84576 10.6053
991.701 9.41674 9.89678 10.648
995.851 9.46799 9.94719 10.6881
1000 9.5197 9.99644 10.7246
1004.15 9.57166 10.0438 10.7565
1008.3 9.62353 10.0885 10.7826
1012.45 9.6749 10.1293 10.8014
1016.6 9.72517 10.1648 10.8111
1020.75 9.7736 10.1933 10.8098
1024.9 9.81919 10.2127 10.7952
1029.05 9.86066 10.2205 10.7651
1033.2 9.89638 10.2137 10.7167
1037.34 9.9243 10.1891 10.6477
1041.49 9.94188 10.143 10.5558
1045.64 9.94606 10.0719 10.4391
1049.79 9.93328 9.97248 10.2966
1053.94 9.89953 9.84217 10.1284
1058.09 9.84062 9.67988 9.93612
1062.24 9.75252 9.48652 9.72273
1066.39 9.63206 9.2655 9.49297
1070.54 9.47761 9.02292 9.25292
1074.69 9.29005 8.76722 9.00957
1078.84 9.07337 8.50842 8.77018
1082.99 8.83494 8.2569 8.54167
1087.14 8.58499 8.02214 8.32993
1091.29 8.33539 7.81164 8.13946
1095.44 8.09792 7.63034 7.97315
1099.59 7.88264 7.48053 7.83231
1103.73 7.69662 7.36218 7.71686
1107.88 7.54361 7.27348 7.62568
1112.03 7.42423 7.21153 7.55687
1116.18 7.33672 7.17282 7.5081
1120.33 7.27778 7.15374 7.47686
1124.48 7.24337 7.15081 7.46064
1128.63 7.2293 7.16088 7.45706
1132.78 7.23159 7.1812 7.46393
1136.93 7.24672 7.20943 7.47932
1141.08 7.27167 7.24365 7.50154
1145.23 7.30396 7.28226 7.52916
1149.38 7.34157 7.32401 7.56096
1153.53 7.3829 7.36787 7.59593
1157.68 7.42669 7.41305 7.63323
1161.83 7.472 7.45892 7.67217
1165.98 7.51806 7.50501 7.71219
1170.12 7.56433 7.55094 7.75285
1174.27 7.61038 7.59644 7.79378
1178.42 7.65592 7.64129 7.83468
1182.57 7.70071 7.68535 7.87535
1186.72 7.7446 7.72851 7.91558
1190.87 7.78749 7.77069 7.95526
1195.02 7.82931 7.81185 7.99427
1199.17 7.87002 7.85197 8.03254
1203.32 7.90961 7.89102 8.07002
1207.47 7.94807 7.92903 8.10665
1211.62 7.98542 7.96598 8.14242
1215.77 8.02168 8.00191 8.17732
1219.92 8.05687 8.03684 8.21134
1224.07 8.09103 8.07079 8.24448
1228.22 8.12418 8.10378 8.27675
1232.37 8.15637 8.13586 8.30816
1236.51 8.18763 8.16704 8.33873
1240.66 8.21799 8.19736 8.36848
1244.81 8.24749 8.22686 8.39742
1248.96 8.27616 8.25555 8.42558
1253.11 8.30405 8.28347 8.45297
1257.26 8.33117 8.31066 8.47962
1261.41 8.35756 8.33713 8.50555
1265.56 8.38326 8.36291 8.53078
1269.71 8.40828 8.38804 8.55534
1273.86 8.43267 8.41252 8.57924
1278.01 8.45643 8.4364 8.60251
1282.16 8.47961 8.45969 8.62516
1286.31 8.50222 8.48241 8.64723
1290.46 8.52429 8.50459 8.66872
1294.61 8.54583 8.52624 8.68965
1298.76 8.56687 8.54739 8.71005
1302.9 8.58743 8.56804 8.72992
1307.05 8.60752 8.58823 8.7493
1311.2 8.62716 8.60796 8.76819
1315.35 8.64637 8.62726 8.78661
1319.5 8.66517 8.64613 8.80458
1323.65 8.68357 8.66459 8.8221
1327.8 8.70158 8.68266 8.8392
1331.95 8.71922 8.70034 8.85589
1336.1 8.73649 8.71766 8.87218
1340.25 8.75342 8.73461 8.88808
1344.4 8.77002 8.75123 8.9036
1348.55 8.78629 8.7675 8.91876
1352.7 8.80224 8.78345 8.93357
1356.85 8.81789 8.79909 8.94804
1361 8.83325 8.81442 8.96218
1365.15 8.84832 8.82945 8.97599
1369.29 8.86311 8.8442 8.98949
1373.44 8.87763 8.85867 9.00269
1377.59 8.89189 8.87286 9.01559
1381.74 8.9059 8.88679 9.02821
1385.89 8.91966 8.90047 9.04055
1390.04 8.93319 8.91389 9.05262
1394.19 8.94648 8.92708 9.06443
1398.34 8.95954 8.94002 9.07598
1402.49 8.97239 8.95274 9.08728
1406.64 8.98502 8.96523 9.09834
1410.79 8.99744 8.97751 9.10917
1414.94 9.00966 8.98957 9.11977
1419.09 9.02169 9.00142 9.13014
1423.24 9.03351 9.01307 9.1403
1427.39 9.04515 9.02453 9.15024
1431.54 9.05661 9.03579 9.15998
1435.68 9.06789 9.04686 9.16952
1439.83 9.07899 9.05775 9.17886
1443.98 9.08992 9.06847 9.18801
1448.13 9.10069 9.079 9.19698
1452.28 9.11129 9.08936 9.20576
1456.43 9.12173 9.09956 9.21437
1460.58 9.13202 9.10959 9.2228
1464.73 9.14215 9.11947 9.23107
1468.88 9.15214 9.12918 9.23917
1473.03 9.16198 9.13874 9.24711
1477.18 9.17168 9.14816 9.25489
1481.33 9.18123 9.15742 9.26252
1485.48 9.19065 9.16654 9.27
1489.63 9.19994 9.17552 9.27733
1493.78 9.20909 9.18437 9.28452
1497.93 9.21812 9.19307 9.29158
1502.07 9.22701 9.20165 9.29849
1506.22 9.23579 9.21009 9.30527
1510.37 9.24444 9.21841 9.31193
1514.52 9.25298 9.2266 9.31845
1518.67 9.26139 9.23466 9.32485
1522.82 9.26969 9.24261 9.33113
1526.97 9.27788 9.25044 9.33729
1531.12 9.28596 9.25816 9.34333
1535.27 9.29393 9.26575 9.34926
1539.42 9.30179 9.27324 9.35508
1543.57 9.30955 9.28062 9.36079
1547.72 9.31721 9.28789 9.36639
1551.87 9.32476 9.29506 9.37189
1556.02 9.33221 9.30212 9.37729
1560.17 9.33957 9.30908 9.38258
1564.32 9.34683 9.31593 9.38778
1568.46 9.354 9.32269 9.39289
1572.61 9.36107 9.32936 9.3979
1576.76 9.36805 9.33592 9.40282
1580.91 9.37494 9.3424 9.40764
1585.06 9.38174 9.34878 9.41238
1589.21 9.38845 9.35507 9.41704
1593.36 9.39508 9.36127 9.42161
1597.51 9.40163 9.36738 9.4261
1601.66 9.40809 9.37341 9.43051
1605.81 9.41446 9.37936 9.43484
1609.96 9.42076 9.38521 9.43909
1614.11 9.42698 9.39099 9.44326
1618.26 9.43312 9.39669 9.44737
1622.41 9.43918 9.40231 9.45139
1626.56 9.44517 9.40785 9.45535
1630.71 9.45108 9.41331 9.45924
1634.85 9.45692 9.4187 9.46306
1639 9.46268 9.42401 9.46682
1643.15 9.46837 9.42925 9.47051
1647.3 9.474 9.43441 9.47413
1651.45 9.47955 9.43951 9.47769
1655.6 9.48503 9.44453 9.48119
1659.75 9.49045 9.44949 9.48463
1663.9 9.4958 9.45438 9.48802
1668.05 9.50108 9.4592 9.49134
1672.2 9.5063 9.46396 9.49461
1676.35 9.51145 9.46865 9.49782
1680.5 9.51654 9.47327 9.50098
1684.65 9.52157 9.47784 9.50409
1688.8 9.52653 9.48234 9.50714
1692.95 9.53144 9.48678 9.51015
1697.1 9.53628 9.49116 9.5131
1701.24 9.54107 9.49548 9.516
1705.39 9.54579 9.49975 9.51886
1709.54 9.55046 9.50395 9.52167
1713.69 9.55508 9.5081 9.52444
1717.84 9.55963 9.5122 9.52716
1721.99 9.56413 9.51624 9.52984
1726.14 9.56858 9.52022 9.53247
1730.29 9.57297 9.52415 9.53507
1734.44 9.57731 9.52803 9.53762
1738.59 9.58159 9.53186 9.54013
1742.74 9.58583 9.53563 9.54261
1746.89 9.59001 9.53936 9.54504
1751.04 9.59414 9.54304 9.54744
1755.19 9.59822 9.54666 9.5498
1759.34 9.60225 9.55024 9.55213
1763.49 9.60624 9.55378 9.55442
1767.63 9.61017 9.55726 9.55667
1771.78 9.61406 9.5607 9.55889
1775.93 9.6179 9.5641 9.56108
1780.08 9.62169 9.56745 9.56324
1784.23 9.62544 9.57075 9.56537
1788.38 9.62914 9.57402 9.56746
1792.53 9.63279 9.57724 9.56953
1796.68 9.63641 9.58042 9.57157
1800.83 9.63997 9.58355 9.57357
